"ID","Accession","Origin","Species"
"129","PI 343576","Czech Republic","oleracea"
"130","PI 343630","Japan","oleracea"
"131","PI 343646","Netherlands","oleracea"
"132","PI 343664","Norway","oleracea"
"133","PI 343666","Serbia","oleracea"
"134","PI 303629","South Africa","oleracea"
"135","PI 302985","Canada","oleracea"
"136","PI 296331","South Africa","oleracea"
"137","PI 296209","United States","oleracea"
"138","PI 296132","United States","oleracea"
"139","PI 291998","Israel","oleracea"
"140","PI 289697","Australia","oleracea"
"141","PI 280067","Scotland","oleracea"
"142","PI 261642","Netherlands","oleracea"
"143","PI 229747","Iran","oleracea"
"144","PI 229470","Turkey","oleracea"
"145","PI 212080","Afghanistan","oleracea"
"146","PI 204680","Turkey","oleracea"
"147","G 28894","China","oleracea"
"148","G 28893","China","oleracea"
"149","G 30490","China","oleracea"
"150","PI 165067","Turkey","oleracea"
"151","PI 169053","Turkey","oleracea"
"152","PI 169050","Turkey","oleracea"
"153","PI 169044","Turkey","oleracea"
"154","PI 171536","Turkey","oleracea"
"155","PI 171529","Turkey","oleracea"
"156","PI 478332","China","juncea"
"157","PI 470082","South Korea","juncea"
"158","PI 436559","China","juncea"
"159","PI 432383","Bangladesh","juncea"
"160","PI 662697","Japan","juncea"
"161","PI 633099","United States","juncea"
"162","PI 662735","China","juncea"
"163","PI 649122","United States","juncea"
"164","PI 458928","Canada","juncea"
"165","G 30990","China","juncea"
"166","Ames 12769","Nepal","juncea"
"167","Ames 31505","South Korea","juncea"
"168","PI 603011","India","juncea"
"169","PI 662769","Germany","juncea"
"170","PI 662777","-","juncea"
"171","PI 633097","China","juncea"
"172","PI 662736","China","juncea"
"173","PI 633086","Russia","juncea"
"174","PI 633112","Cuba","juncea"
"175","PI 649120","Russia","juncea"
"176","PI 633114","North Korea","juncea"
"177","PI 633100","Pakistan","juncea"
"178","PI 634754","United States","napus"
"179","PI 619618","United States","napus"
"180","PI 610258","United States","napus"
"181","PI 605719","United States","napus"
"182","PI 633123","Mongolia","napus"
"183","PI 537090","South Korea","napus"
"184","PI 470005","Poland","napus"
"185","PI 649126","Canada","napus"
"186","Ames 30186","Tunisia","napus"
"187","PI 649127","Canada","napus"
"188","PI 251236","Pakistan","napus"
"189","Ames 18510","China","napus"
"190","PI 597352","United States","napus"
"191","Ames 26635","United States","napus"
"192","PI 649129","Canada","napus"
"193","PI 633122","Italy","napus"
"194","PI 594321","United States","napus"
"195","PI 633121","Poland","napus"
"196","PI 597828","Algeria","napus"
"197","PI 632742","Poland","napus"
